prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
秋田県,秋田市,Akita,Akita-shi,315814,あきたけん,あきたし
三重県,四日市市,Mie ,Yokkaichi,311031,みえけん,よっかいちし
愛知県,春日井市,Aichi,Kasugai,306508,あいちけん,かすがいし
福岡県,久留米市,Fukuoka ,Kurume-shi,304552,ふくおかけん,くるめし
岩手県,盛岡市,Iwate ,Morioka,297631,いわてけん,もりおかし
福島県,福島市,Fukushima ,Fukushima-shi,294247,ふくしまけん,ふくしまし
兵庫県,明石市,Hyogo ,Akashi shi,293409,ひょうごけん,あかしし
東京都,豊島区,Tokyo,Toshima-ku,291167,とうきょうと,としまく
青森県,青森市,Aomori ,Aomori,287648,あおもりけん,あおもりし
大阪府,茨木市,Osaka ,Ibaraki,280033,おおさかふ,いばらきし
三重県,津市,Mie ,Tsu,279886,みえけん,つし
東京都,目黒区,Tokyo,Meguro,277622,とうきょうと,めぐろく
新潟県,長岡市,Niigata ,Nagaoka,275133,にいがたけん,ながおかし
千葉県,市原市,Chiba ,Ichihara,274656,ちばけん,いちはらし
茨城県,水戸市,Ibaraki ,Mito,270783,いばらきけん,みとし
大阪府,八尾市,Osaka ,Yao,268800,おおさかふ,やおし
山口県,下関市,Yamaguchi ,Shimonoseki,268517,やまぐちけん,しものせきし
兵庫県,加古川市,Hyogo ,Kakogawa,267435,ひょうごけん,かこがわし
北海道,函館市,Hokkaido,Hakodate-shi,265979,ほっかいどう,はこだてし
福井県,福井市,Fukui ,Fukui-shi,265904,ふくいけん,ふくいし
東京都,府中市,Tokyo,Fuchu-shi,260274,とうきょうと,ふちゅうし
徳島県,徳島市,Tokushima,Tokushima,258554,とくしまけん,とくしまし
神奈川県,平塚市,Kanagawa ,Hiratsuka,258227,かながわけん,ひらつかし
東京都,墨田区,Tokyo,Sumida-ku,256274,とうきょうと,すみだく
長崎県,佐世保市,Nagasaki ,Sasebo,255439,ながさきけん,させぼし
山形県,山形市,Yamagata ,Yamagata,253832,やまがたけん,やまがたし
静岡県,富士市,Shizuoka ,Fuji,248399,しずおかけん,ふじし
埼玉県,草加市,Saitama,Soka,247034,さいたまけん,そうかし
長野県,松本市,Nagano ,Matsumoto,243293,ながのけん,まつもとし
東京都,港区,Tokyo,Minato-ku,243283,とうきょうと,みなとく
神奈川県,茅ヶ崎市,Kanagawa ,Chigasaki,239348,かながわけん,ちがさきし
大阪府,寝屋川市,Osaka ,Neyagawa-shi,237518,おおさかふ,ねやがわし
佐賀県,佐賀市,Saga ,Saga,236372,さがけん,さがし
神奈川県,大和市,Kanagawa ,Yamato,232922,かながわけん,やまとし
埼玉県,春日部市,Saitama,Kasukabe,232709,さいたまけん,かすかべし
青森県,八戸市,Aomori ,Hachinohe,231257,あおもりけん,はちのへし
東京都,調布市,Tokyo,Chofu,229061,とうきょうと,ちょうふし
広島県,呉市,Hiroshima,Kure,228522,ひろしまけん,くれし
茨城県,つくば市,Ibaraki ,Tsukuba,226963,いばらきけん,つくばし
神奈川県,厚木市,Kanagawa ,Atsugi,225714,かながわけん,あつぎし
埼玉県,上尾市,Saitama,Ageo,225196,さいたまけん,あげおし
兵庫県,宝塚市,Hyogo ,Takarazuka,224903,ひょうごけん,たからづかし
東京都,渋谷区,Tokyo,Shibuya-ku,224533,とうきょうと,しぶやく
群馬県,太田市,Gunma ,Ota-shi,219807,ぐんまけん,おおたし
東京都,文京区,Tokyo,Bunkyo ku,219724,とうきょうと,ぶんきょうく
東京都,荒川区,Tokyo,Arakawa,212264,とうきょうと,あらかわく
群馬県,伊勢崎市,Gunma ,Isezaki,208814,ぐんまけん,いせさきし
島根県,松江市,Shimane ,Matsue,206230,しまねけん,まつえし
東京都,西東京市,Tokyo,Nishitokyo,200012,とうきょうと,にしとうきょうし
埼玉県,熊谷市,Saitama,Kumagaya-shi,198742,さいたまけん,くまがやし
東京都,台東区,Tokyo,Taito,198073,とうきょうと,たいとうく
山口県,山口市,Yamaguchi ,Yamaguchi,197422,やまぐちけん,やまぐちし
新潟県,上越市,Niigata ,Joetsu,196987,にいがたけん,じょうえつし
兵庫県,伊丹市,Hyogo ,Itami-shi,196883,ひょうごけん,いたみし
三重県,鈴鹿市,Mie ,Suzuka,196403,みえけん,すずかし
静岡県,沼津市,Shizuoka ,Numazu,195633,しずおかけん,ぬまづし
大阪府,岸和田市,Osaka ,Kishiwada,194086,おおさかふ,きしわだし
神奈川県,小田原市,Kanagawa ,Odawara,194086,かながわけん,おだわらし
鳥取県,鳥取市,Tottori ,Tottori,193717,とっとりけん,とっとりし
千葉県,八千代市,Chiba ,Yachiyo,193152,ちばけん,やちよし
山梨県,甲府市,Yamanashi ,Kofu,193125,やまなしけん,こうふし
広島県,東広島市,Hiroshima,Higashi Hiroshima,192907,ひろしまけん,ひがしひろしまし
東京都,小平市,Tokyo,Kodaira,190005,とうきょうと,こだいらし
東京都,三鷹市,Tokyo,Mitaka,186936,とうきょうと,みたかし
