prefecture_jp,city_jp,prefecture,city,population,prefecture_hira,city_hira
京都府,福知山市,Kyoto,Fukuchiyama,78935,きょうとふ,ふくちやまし
岐阜県,中津川市,Gifu ,Nakatsugawa,78883,ぎふけん,なかつがわし
三重県,名張市,Mie ,Nabari,78795,みえけん,なばりし
群馬県,渋川市,Gunma ,Shibukawa,78391,ぐんまけん,しぶかわし
茨城県,龍ケ崎市,Ibaraki ,Ryugasaki,78342,いばらきけん,りゅうがさきし
埼玉県,本庄市,Saitama,Honjo,77881,さいたまけん,ほんじょうし
奈良県,香芝市,Nara ,Kashiba,77561,ならけん,かしばし
千葉県,香取市,Chiba ,Katori,77499,ちばけん,かとりし
愛媛県,宇和島市,Ehime ,Uwajima,77465,えひめけん,うわじまし
福島県,須賀川市,Fukushima ,Sukagawa-shi,77441,ふくしまけん,すかがわし
兵庫県,たつの市,Hyogo ,Tatsuno,77419,ひょうごけん,たつのし
兵庫県,三木市,Hyogo ,Miki,77178,ひょうごけん,みきし
京都府,城陽市,Kyoto,Joyo,76869,きょうとふ,じょうようし
茨城県,笠間市,Ibaraki ,Kasama-shi,76739,いばらきけん,かさまし
宮城県,名取市,Miyagi ,Natori,76668,みやぎけん,なとりし
群馬県,館林市,Gunma ,Tatebayashi,76667,ぐんまけん,たてばやしし
大阪府,交野市,Osaka ,Katano,76435,おおさかふ,かたのし
茨城県,石岡市,Ibaraki ,Ishioka,76020,いばらきけん,いしおかし
大阪府,泉大津市,Osaka ,Izumiotsu,75897,おおさかふ,いずみおおつし
栃木県,大田原市,Tochigi ,Otawara,75457,とちぎけん,おおたわらし
鹿児島県,姶良市,Kagoshima ,Aira,75173,かごしまけん,あいらし
東京都,清瀬市,Tokyo,Kiyose,74864,とうきょうと,きよせし
和歌山県,田辺市,Wakayama ,Tanabe,74770,わかやまけん,たなべし
山梨県,甲斐市,Yamanashi ,Kai,74386,やまなしけん,かいし
愛知県,犬山市,Aichi,Inuyama,74308,あいちけん,いぬやまし
秋田県,大館市,Akita,Odate,74175,あきたけん,おおだてし
埼玉県,桶川市,Saitama,Okegawa,73936,さいたまけん,おけがわし
東京都,国立市,Tokyo,Kunitachi,73655,とうきょうと,くにたちし
徳島県,阿南市,Tokushima,Anan-shi,73019,とくしまけん,あなんし
佐賀県,鳥栖市,Saga ,Tosu,72902,さがけん,とすし
京都府,木津川市,Kyoto,Kizugawa,72840,きょうとふ,きづがわし
埼玉県,志木市,Saitama,Shiki,72676,さいたまけん,しきし
京都府,八幡市,Kyoto,Yawata,72664,きょうとふ,やわたし
埼玉県,蕨市,Saitama,Warabi,72260,さいたまけん,わらびし
大分県,佐伯市,Oita ,Saiki,72211,おおいたけん,さいきし
福岡県,太宰府市,Fukuoka ,Dazaifu,72168,ふくおかけん,だざいふし
愛知県,碧南市,Aichi,Hekinan,71346,あいちけん,へきなんし
東京都,武蔵村山市,Tokyo,Musashimurayama-shi,71229,とうきょうと,むさしむらやまし
大阪府,柏原市,Osaka ,Kashiwara-shi,71112,おおさかふ,かしわらし
京都府,京田辺市,Kyoto,Kyotanabe,70835,きょうとふ,きょうたなべし
山梨県,南アルプス市,Yamanashi ,Minami-arupusu,70828,やまなしけん,みなみあるぷすし
千葉県,八街市,Chiba ,Yachimata,70734,ちばけん,やちまたし
福岡県,行橋市,Fukuoka ,Yukuhashi,70586,ふくおかけん,ゆくはしし
愛知県,知立市,Aichi,Chiryu,70501,あいちけん,ちりゅうし
埼玉県,鶴ヶ島市,Saitama,Tsurugashima-shi,70255,さいたまけん,つるがしまし
宮城県,栗原市,Miyagi ,Kurihara,69906,みやぎけん,くりはらし
埼玉県,吉川市,Saitama,Yoshikawa,69738,さいたまけん,よしかわし
北海道,恵庭市,Hokkaido,Eniwa,69702,ほっかいどう,えにわし
山梨県,笛吹市,Yamanashi ,Fuefuki,69559,やまなしけん,ふえふきし
愛知県,豊明市,Aichi,Toyoake,69127,あいちけん,とよあけし
静岡県,伊東市,Shizuoka ,Ito-shi,68345,しずおかけん,いとうし
福井県,鯖江市,Fukui ,Sabae,68284,ふくいけん,さばえし
長野県,伊那市,Nagano ,Ina-shi,68271,ながのけん,いなし
茨城県,鹿嶋市,Ibaraki ,Kashima,67879,いばらきけん,かしまし
福岡県,柳川市,Fukuoka ,Yanagawa-shi,67777,ふくおかけん,やながわし
埼玉県,北本市,Saitama,Kitamoto,67409,さいたまけん,きたもとし
奈良県,天理市,Nara ,Tenri shi,67398,ならけん,てんりし
岐阜県,羽島市,Gifu ,Hashima-shi,67377,ぎふけん,はしまし
愛知県,清須市,Aichi,Kiyosu,67327,あいちけん,きよすし
石川県,加賀市,Ishikawa ,Kaga,67186,いしかわけん,かがし
長野県,塩尻市,Nagano ,Shiojiri,67135,ながのけん,しおじりし
岡山県,総社市,Okayama ,Soja,66855,おかやまけん,そうじゃし
熊本県,玉名市,Kumamoto ,Tamana-shi,66782,くまもとけん,たまなし
滋賀県,栗東市,Shiga ,Ritto,66749,しがけん,りっとうし
千葉県,旭市,Chiba ,Asahi,66586,ちばけん,あさひし
大分県,日田市,Oita ,Hita,66523,おおいたけん,ひたし
福井県,敦賀市,Fukui ,Tsuruga,66165,ふくいけん,つるがし
群馬県,藤岡市,Gunma ,Fujioka,65708,ぐんまけん,ふじおかし
香川県,三豊市,Kagawa ,Mitoyo,65524,かがわけん,みとよし
大阪府,藤井寺市,Osaka ,Fujiidera,65438,おおさかふ,ふじいでらし
宮城県,気仙沼市,Miyagi ,Kesennuma,64988,みやぎけん,けせんぬまし
奈良県,大和高田市,Nara ,Yamato Takada,64817,ならけん,やまとたかだし
茨城県,守谷市,Ibaraki ,Moriya,64753,いばらきけん,もりやし
兵庫県,丹波市,Hyogo ,Tamba,64660,ひょうごけん,たんばし
千葉県,銚子市,Chiba ,Choshi,64415,ちばけん,ちょうしし
福岡県,八女市,Fukuoka ,Yame,64408,ふくおかけん,やめし
和歌山県,橋本市,Wakayama ,Hashimoto,63621,わかやまけん,はしもとし
埼玉県,秩父市,Saitama,Chichibu,63555,さいたまけん,ちちぶし
愛知県,津島市,Aichi,Tsushima-shi,63431,あいちけん,つしまし
青森県,十和田市,Aomori ,Towada-shi,63429,あおもりけん,とわだし
愛知県,愛西市,Aichi,Aisai,63880,あいちけん,あいさいし
山口県,山陽小野田市,Yamaguchi ,Sanyo Onoda-shi,62671,やまぐちけん,さんようおのだし
和歌山県,紀の川市,Wakayama ,Kinokawa,62616,わかやまけん,きのかわし
新潟県,村上市,Niigata ,Murakami,62442,にいがたけん,むらかみし
大阪府,泉南市,Osaka ,Sennan-shi,62438,おおさかふ,せんなんし
福島県,伊達市,Fukushima ,Date,62400,ふくしまけん,だてし
埼玉県,蓮田市,Saitama,Hasuda-shi,62380,さいたまけん,はすだし
愛知県,田原市,Aichi,Tahara,62364,あいちけん,たはらし
山形県,天童市,Yamagata ,Tendo,62194,やまがたけん,てんどうし
宮城県,多賀城市,Miyagi ,Tagajo-shi,62096,みやぎけん,たがじょうし
福島県,白河市,Fukushima ,Shirakawa,61913,ふくしまけん,しらかわし
愛知県,みよし市,Aichi,Miyoshi-shi,61810,あいちけん,みよしし
宮崎県,日向市,Miyazaki,Hyuga-shi,61761,みやざきけん,ひゅうがし
千葉県,白井市,Chiba ,Shirai,61674,ちばけん,しろいし
沖縄県,名護市,Okinawa ,Nago,61674,おきなわけん,なごし
茨城県,常総市,Ibaraki ,Joso,61483,いばらきけん,じょうそうし
沖縄県,豊見城市,Okinawa ,Tomigusuku-shi,61119,おきなわけん,とみぐすくし
千葉県,袖ケ浦市,Chiba ,Sodegaura,60952,ちばけん,そでがうらし
岡山県,玉野市,Okayama ,Tamano-shi,60736,おかやまけん,たまのし
千葉県,東金市,Chiba ,Togane,60652,ちばけん,とうがねし
長野県,千曲市,Nagano ,Chikuma-shi,60298,ながのけん,ちくまし
静岡県,湖西市,Shizuoka ,Kosai,59789,しずおかけん,こさいし
熊本県,宇城市,Kumamoto ,Uki,59756,くまもとけん,うきし
栃木県,下野市,Tochigi ,Shimotsuke,59431,とちぎけん,しもつけし
香川県,観音寺市,Kagawa ,Kanonji-shi,59409,かがわけん,かんおんじし
徳島県,鳴門市,Tokushima,Naruto,59101,とくしまけん,なるとし
北海道,北広島市,Hokkaido,Kitahiroshima,59064,ほっかいどう,きたひろしまし
福岡県,福津市,Fukuoka ,Fukutsu,58781,ふくおかけん,ふくつし
新潟県,南魚沼市,Niigata ,Minamiuonuma,58568,にいがたけん,みなみうおぬまし
沖縄県,糸満市,Okinawa ,Itoman,58547,おきなわけん,いとまんし
群馬県,安中市,Gunma ,Annaka,58531,ぐんまけん,あんなかし
青森県,むつ市,Aomori ,Mutsu,58493,あおもりけん,むつし
東京都,千代田区,Tokyo,Chiyoda-ku,58406,とうきょうと,ちよだく
東京都,福生市,Tokyo,Fussa,58395,とうきょうと,ふっさし
熊本県,合志市,Kumamoto ,Koshi-shi,58370,くまもとけん,こうしし
福島県,二本松市,Fukushima ,Nihonmatsu,58162,ふくしまけん,にほんまつし
島根県,浜田市,Shimane ,Hamada-shi,58105,しまねけん,はまだし
福岡県,小郡市,Fukuoka ,Ogori,57983,ふくおかけん,おごおりし
福岡県,古賀市,Fukuoka ,Koga,57959,ふくおかけん,こがし
岐阜県,土岐市,Gifu ,Toki,57827,ぎふけん,ときし
福島県,南相馬市,Fukushima ,Minamisoma,57797,ふくしまけん,みなみそうまし
大阪府,大阪狭山市,Osaka ,Osaka Sayama,57792,おおさかふ,おおさかさやまし
愛知県,長久手市,Aichi,Nagakute,57598,あいちけん,ながくてし
北海道,石狩市,Hokkaido,Ishikari,57436,ほっかいどう,いしかりし
神奈川県,逗子市,Kanagawa ,Zushi,57425,かながわけん,ずしし
新潟県,佐渡市,Niigata ,Sado,57255,にいがたけん,さどし
奈良県,桜井市,Nara ,Sakurai,57244,ならけん,さくらいし
福岡県,直方市,Fukuoka ,Nogata,57146,ふくおかけん,のおがたし
岩手県,宮古市,Iwate ,Miyako,56676,いわてけん,みやこし
愛知県,常滑市,Aichi,Tokoname-shi,56547,あいちけん,とこなめし
大阪府,高石市,Osaka ,Takaishi,56529,おおさかふ,たかいしし
埼玉県,日高市,Saitama,Hidaka,56520,さいたまけん,ひだかし
大分県,宇佐市,Oita ,Usa,56258,おおいたけん,うさし
大阪府,四條畷市,Osaka ,Shijonawate,56075,おおさかふ,しじょうなわてし
長野県,茅野市,Nagano ,Chino,55912,ながのけん,ちのし
東京都,羽村市,Tokyo,Hamura-shi,55833,とうきょうと,はむらし
山口県,下松市,Yamaguchi ,Kudamatsu,55812,やまぐちけん,くだまつし
岩手県,滝沢市,Iwate ,Takizawa-shi,55463,いわてけん,たきざわし
岐阜県,美濃加茂市,Gifu ,Minokamo,55384,ぎふけん,みのかもし
石川県,七尾市,Ishikawa ,Nanao,55325,いしかわけん,ななおし
佐賀県,伊万里市,Saga ,Imari,55238,さがけん,いまりし
青森県,五所川原市,Aomori ,Goshogawara,55181,あおもりけん,ごしょがわらし
石川県,野々市市,Ishikawa ,Nonoichi,55099,いしかわけん,ののいちし
京都府,京丹後市,Kyoto,Kyotango-shi,55054,きょうとふ,きょうたんごし
新潟県,十日町市,Niigata ,Tokamachi-shi,54917,にいがたけん,とおかまちし
埼玉県,羽生市,Saitama,Hanyu,54874,さいたまけん,はにゅうし
秋田県,能代市,Akita,Noshiro,54730,あきたけん,のしろし
岐阜県,瑞穂市,Gifu ,Mizuho,54354,ぎふけん,みずほし
滋賀県,湖南市,Shiga ,Konan,54289,しがけん,こなんし
茨城県,那珂市,Ibaraki ,Naka,54276,いばらきけん,なかし
大阪府,阪南市,Osaka ,Hannan-shi,54276,おおさかふ,はんなんし
宮城県,塩竈市,Miyagi ,Shiogama,54187,みやぎけん,しおがまし
宮崎県,日南市,Miyazaki,Nichinan,54090,みやざきけん,にちなんし
茨城県,坂東市,Ibaraki ,Bando,54087,いばらきけん,ばんどうし
鹿児島県,出水市,Kagoshima ,Izumi,53758,かごしまけん,いずみし
広島県,三次市,Hiroshima,Miyoshi,53615,ひろしまけん,みよしし
和歌山県,岩出市,Wakayama ,Iwade,53452,わかやまけん,いわでし
熊本県,荒尾市,Kumamoto ,Arao-shi,53407,くまもとけん,あらおし
京都府,向日市,Kyoto,Muko,53380,きょうとふ,むこうし
香川県,坂出市,Kagawa ,Sakaide,53164,かがわけん,さかいでし
静岡県,裾野市,Shizuoka ,Susono,52737,しずおかけん,すそのし
埼玉県,幸手市,Saitama,Satte,52524,さいたまけん,さってし
福岡県,朝倉市,Fukuoka ,Asakura,52444,ふくおかけん,あさくらし
茨城県,常陸太田市,Ibaraki ,Hitachiota-shi,52294,いばらきけん,ひたちおおたし
熊本県,山鹿市,Kumamoto ,Yamaga,52264,くまもとけん,やまがし
千葉県,山武市,Chiba ,Sanmu-shi,52222,ちばけん,さんむし
和歌山県,海南市,Wakayama ,Kainan,51860,わかやまけん,かいなんし
茨城県,結城市,Ibaraki ,Yuuki,51594,いばらきけん,ゆうきし
宮城県,富谷市,Miyagi ,Tomiya,51591,みやぎけん,とみやし
埼玉県,白岡市,Saitama,Shiraoka,51535,さいたまけん,しらおかし
新潟県,五泉市,Niigata ,Gosen,51404,にいがたけん,ごせんし
山口県,光市,Yamaguchi ,Hikari,51369,やまぐちけん,ひかりし
富山県,南砺市,Toyama ,Nanto,51327,とやまけん,なんとし
沖縄県,宮古島市,Okinawa ,Miyakojima,51186,おきなわけん,みやこじまし
岐阜県,恵那市,Gifu ,Ena,51073,ぎふけん,えなし
茨城県,小美玉市,Ibaraki ,Omitama,50911,いばらきけん,おみたまし
群馬県,みどり市,Gunma ,Midori-shi,50906,ぐんまけん,みどりし
長野県,須坂市,Nagano ,Suzaka,50725,ながのけん,すざかし
岡山県,笠岡市,Okayama ,Kasaoka,50568,おかやまけん,かさおかし
三重県,志摩市,Mie ,Shima,50341,みえけん,しまし
香川県,さぬき市,Kagawa ,Sanuki,50272,かがわけん,さぬきし
三重県,亀山市,Mie ,Kameyama-shi,50254,みえけん,かめやまし
長野県,諏訪市,Nagano ,Suwa-shi,50140,ながのけん,すわし
長野県,岡谷市,Nagano ,Okaya-shi,50128,ながのけん,おかやし
滋賀県,高島市,Shiga ,Takashima,50025,しがけん,たかしまし
滋賀県,野洲市,Shiga ,Yasu,49889,しがけん,やすし
群馬県,富岡市,Gunma ,Tomioka,49746,ぐんまけん,とみおかし
千葉県,富里市,Chiba ,Tomisato,49636,ちばけん,とみさとし
北海道,登別市,Hokkaido,Noboribetsu,49625,ほっかいどう,のぼりべつし
山口県,萩市,Yamaguchi ,Hagi-shi,49560,やまぐちけん,はぎし
福島県,喜多方市,Fukushima ,Kitakata,49377,ふくしまけん,きたかたし
鹿児島県,日置市,Kagoshima ,Hioki,49249,かごしまけん,ひおきし
千葉県,大網白里市,Chiba ,Oamishirasato,49184,ちばけん,おおあみしらさとし
茨城県,つくばみらい市,Ibaraki ,Tsukuba Mirai,49136,いばらきけん,つくばみらいし
佐賀県,武雄市,Saga ,Takeo,49062,さがけん,たけおし
鳥取県,倉吉市,Tottori ,Kurayoshi,49044,とっとりけん,くらよしし
山梨県,富士吉田市,Yamanashi ,Fujiyoshida-shi,49003,やまなしけん,ふじよしだし
富山県,砺波市,Toyama ,Tonami,49000,とやまけん,となみし
石川県,能美市,Ishikawa ,Nomi,48881,いしかわけん,のみし
群馬県,沼田市,Gunma ,Numata,48676,ぐんまけん,ぬまたし
兵庫県,小野市,Hyogo ,Ono,48580,ひょうごけん,おのし
兵庫県,赤穂市,Hyogo ,Ako,48567,ひょうごけん,あこうし
福岡県,田川市,Fukuoka ,Tagawa-shi,48441,ふくおかけん,たがわし
福岡県,筑後市,Fukuoka ,Chikugo,48339,ふくおかけん,ちくごし
熊本県,菊池市,Kumamoto ,Kikuchi,48167,くまもとけん,きくちし
静岡県,伊豆の国市,Shizuoka ,Izunokuni,48152,しずおかけん,いずのくにし
茨城県,鉾田市,Ibaraki ,Hokota,48147,いばらきけん,ほこたし
富山県,氷見市,Toyama ,Himi-shi,47992,とやまけん,ひみし
高知県,南国市,Kochi ,Nankoku,47982,こうちけん,なんこくし
山形県,東根市,Yamagata ,Higashine,47768,やまがたけん,ひがしねし
島根県,益田市,Shimane ,Masuda,47718,しまねけん,ますだし
沖縄県,石垣市,Okinawa ,Ishigaki,47564,おきなわけん,いしがきし
愛知県,岩倉市,Aichi,Iwakura,47562,あいちけん,いわくらし
千葉県,館山市,Chiba ,Tateyama-shi,47464,ちばけん,たてやまし
愛知県,新城市,Aichi,Shinshiro,47133,あいちけん,しんしろし
兵庫県,南あわじ市,Hyogo ,Minami-Awaji,46912,ひょうごけん,みなみあわじし
静岡県,菊川市,Shizuoka ,Kikukawa,46763,しずおかけん,きくがわし
秋田県,湯沢市,Akita,Yuzawa,46613,あきたけん,ゆざわし
長崎県,南島原市,Nagasaki ,Minamishimabara,46535,ながさきけん,みなみしまばらし
北海道,北斗市,Hokkaido,Hokuto,46390,ほっかいどう,ほくとし
愛知県,高浜市,Aichi,Takahama,46236,あいちけん,たかはまし
宮崎県,小林市,Miyazaki,Kobayashi,46221,みやざきけん,こばやしし
岡山県,真庭市,Okayama ,Maniwa,46124,おかやまけん,まにわし
三重県,いなべ市,Mie ,Inabe,45815,みえけん,いなべし
千葉県,富津市,Chiba ,Futtsu,45601,ちばけん,ふっつし
静岡県,牧之原市,Shizuoka ,Makinohara,45547,しずおかけん,まきのはらし
長崎県,島原市,Nagasaki ,Shimabara,45436,ながさきけん,しまばらし
神奈川県,三浦市,Kanagawa ,Miura,45289,かながわけん,みうらし
山梨県,北杜市,Yamanashi ,Hokuto,45111,やまなしけん,ほくとし
栃木県,さくら市,Tochigi ,Sakura,44901,とちぎけん,さくらし
宮城県,岩沼市,Miyagi ,Iwanuma,44678,みやぎけん,いわぬまし
茨城県,北茨城市,Ibaraki ,Kitaibaraki,44412,いばらきけん,きたいばらきし
兵庫県,加西市,Hyogo ,Kasai,44313,ひょうごけん,かさいし
佐賀県,小城市,Saga ,Ogi-shi,44259,さがけん,おぎし
兵庫県,洲本市,Hyogo ,Sumoto,44258,ひょうごけん,すもとし
新潟県,糸魚川市,Niigata ,Itoigawa-shi,44162,にいがたけん,いといがわし
長崎県,雲仙市,Nagasaki ,Unzen,44115,ながさきけん,うんぜんし
愛媛県,大洲市,Ehime ,Ozu,44086,えひめけん,おおずし
兵庫県,淡路市,Hyogo ,Awaji-shi,43977,ひょうごけん,あわじし
長野県,中野市,Nagano ,Nakano-shi,43909,ながのけん,なかのし
新潟県,阿賀野市,Niigata ,Agano,43415,にいがたけん,あがのし
神奈川県,南足柄市,Kanagawa ,Minamiashigara,43306,かながわけん,みなみあしがらし
茨城県,下妻市,Ibaraki ,Shimotsuma,43293,いばらきけん,しもつまし
愛知県,弥富市,Aichi,Yatomi,43269,あいちけん,やとみし
岡山県,赤磐市,Okayama ,Akaiwa,43214,おかやまけん,あかいわし
鹿児島県,奄美市,Kagoshima ,Amami,43156,かごしまけん,あまみし
富山県,魚津市,Toyama ,Uozu,42935,とやまけん,うおづし
茨城県,稲敷市,Ibaraki ,Inashiki,42810,いばらきけん,いなしきし
茨城県,桜川市,Ibaraki ,Sakuragawa-shi,42632,いばらきけん,さくらがわし
茨城県,常陸大宮市,Ibaraki ,Hitachiomiya,42587,いばらきけん,ひたちおおみやし
長野県,小諸市,Nagano ,Komoro,42512,ながのけん,こもろし
茨城県,かすみがうら市,Ibaraki ,Kasumigaura,42147,いばらきけん,かすみがうらし
岐阜県,郡上市,Gifu ,Gujo,42090,ぎふけん,ぐじょうし
沖縄県,南城市,Okinawa ,Nanjo,42016,おきなわけん,なんじょうし
鹿児島県,指宿市,Kagoshima ,Ibusuki,41831,かごしまけん,いぶすきし
福岡県,中間市,Fukuoka ,Nakama,41796,ふくおかけん,なかまし
兵庫県,篠山市,Hyogo ,Sasayama,41490,ひょうごけん,ささやまし
徳島県,吉野川市,Tokushima,Yoshinogawa,41466,とくしまけん,よしのがわし
岡山県,井原市,Okayama ,Ibara-shi,41390,おかやまけん,いばらし
山形県,寒河江市,Yamagata ,Sagae,41256,やまがたけん,さがえし
北海道,滝川市,Hokkaido,Takikawa-shi,41192,ほっかいどう,たきかわし
富山県,黒部市,Toyama ,Kurobe,40991,とやまけん,くろべし
兵庫県,西脇市,Hyogo ,Nishiwaki,40866,ひょうごけん,にしわきし
新潟県,見附市,Niigata ,Mitsuke,40608,にいがたけん,みつけし
兵庫県,加東市,Hyogo ,Kato-shi,40310,ひょうごけん,かとうし
青森県,三沢市,Aomori ,Misawa,40196,あおもりけん,みさわし
広島県,府中市,Hiroshima,Fuchu-shi,40069,ひろしまけん,ふちゅうし
島根県,安来市,Shimane ,Yasugi,39528,しまねけん,やすぎし
宮城県,東松島市,Miyagi ,Higashimatsushima,39503,みやぎけん,ひがしまつしまし
北海道,網走市,Hokkaido,Abashiri,39077,ほっかいどう,あばしりし
千葉県,南房総市,Chiba ,Minamiboso,39033,ちばけん,みなみぼうそうし
島根県,雲南市,Shimane ,Unnan,39032,しまねけん,うんなんし
愛媛県,西予市,Ehime ,Seiyo,38919,えひめけん,せいよし
徳島県,小松島市,Tokushima,Komatsushima,38755,とくしまけん,こまつしまし
大分県,臼杵市,Oita ,Usuki,38748,おおいたけん,うすきし
福岡県,嘉麻市,Fukuoka ,Kama,38743,ふくおかけん,かまし
岐阜県,瑞浪市,Gifu ,Mizunami,38730,ぎふけん,みずなみし
滋賀県,米原市,Shiga ,Maibara,38719,しがけん,まいばらし
千葉県,いすみ市,Chiba ,Isumi,38594,ちばけん,いすみし
福島県,相馬市,Fukushima ,Soma,38556,ふくしまけん,そうまし
福島県,田村市,Fukushima ,Tamura,38503,ふくしまけん,たむらし
福岡県,みやま市,Fukuoka ,Miyama,38139,ふくおかけん,みやまし
岩手県,大船渡市,Iwate ,Ofunato,38058,いわてけん,おおふなとし
兵庫県,宍粟市,Hyogo ,Shiso,37773,ひょうごけん,しそうし
静岡県,熱海市,Shizuoka ,Atami,37544,しずおかけん,あたみし
新潟県,魚沼市,Niigata ,Uonuma,37352,にいがたけん,うおぬまし
長崎県,五島市,Nagasaki ,Goto,37327,ながさきけん,ごとうし
千葉県,匝瑳市,Chiba ,Sosa,37261,ちばけん,そうさし
徳島県,阿波市,Tokushima,Awa-shi,37202,とくしまけん,あわし
熊本県,宇土市,Kumamoto ,Uto,37026,くまもとけん,うとし
広島県,庄原市,Hiroshima,Shobara-shi,37000,ひろしまけん,しょうばらし
岡山県,瀬戸内市,Okayama ,Setouchi,36975,おかやまけん,せとうちし
山形県,新庄市,Yamagata ,Shinjo,36894,やまがたけん,しんじょうし
愛媛県,伊予市,Ehime ,Iyo-shi,36827,えひめけん,いよし
岩手県,釜石市,Iwate ,Kamaishi,36802,いわてけん,かまいしし
奈良県,葛城市,Nara ,Katsuragi-shi,36635,ならけん,かつらぎし
大分県,豊後大野市,Oita ,Bungoono,36584,おおいたけん,ぶんごおおのし
鹿児島県,曽於市,Kagoshima ,Soo,36557,かごしまけん,そおし
新潟県,小千谷市,Niigata ,Ojiya,36498,にいがたけん,おぢやし
北海道,稚内市,Hokkaido,Wakkanai,36380,ほっかいどう,わっかないし
鹿児島県,南九州市,Kagoshima ,Minami Kyushu,36352,かごしまけん,みなみきゅうしゅうし
岩手県,久慈市,Iwate ,Kuji,35642,いわてけん,くじし
山口県,長門市,Yamaguchi ,Nagato,35439,やまぐちけん,ながとし
鹿児島県,南さつま市,Kagoshima ,Minami Satsuma,35439,かごしまけん,みなみさつまし
宮城県,白石市,Miyagi ,Shiroishi,35272,みやぎけん,しろいしし
岐阜県,海津市,Gifu ,Kaizu,35206,ぎふけん,かいづし
岡山県,備前市,Okayama ,Bizen,35179,おかやまけん,びぜんし
島根県,大田市,Shimane ,Oda,35166,しまねけん,おおだし
山梨県,山梨市,Yamanashi ,Yamanashi,35141,やまなしけん,やまなしし
北海道,伊達市,Hokkaido,Date,34995,ほっかいどう,だてし
愛媛県,八幡浜市,Ehime ,Yawatahama,34951,えひめけん,やわたはまし
茨城県,行方市,Ibaraki ,Namegata,34909,いばらきけん,なめがたし
福岡県,大川市,Fukuoka ,Okawa-shi,34838,ふくおかけん,おおかわし
愛媛県,東温市,Ehime ,Toon,34613,えひめけん,とうおんし
高知県,四万十市,Kochi ,Shimanto,34313,こうちけん,しまんとし
青森県,黒石市,Aomori ,Kuroishi,34284,あおもりけん,くろいしし
大分県,由布市,Oita ,Yufu,34262,おおいたけん,ゆふし
岡山県,浅口市,Okayama ,Asakuchi,34235,おかやまけん,あさくちし
石川県,かほく市,Ishikawa ,Kahoku,34219,いしかわけん,かほくし
鳥取県,境港市,Tottori ,Sakaiminato,34174,とっとりけん,さかいみなとし
岐阜県,本巣市,Gifu ,Motosu,33995,ぎふけん,もとすし
千葉県,鴨川市,Chiba ,Kamogawa,33932,ちばけん,かもがわし
熊本県,人吉市,Kumamoto ,Hitoyoshi,33880,くまもとけん,ひとよしし
京都府,綾部市,Kyoto,Ayabe,33821,きょうとふ,あやべし
岐阜県,下呂市,Gifu ,Gero,33585,ぎふけん,げろし
栃木県,矢板市,Tochigi ,Yaita,33354,とちぎけん,やいたし
青森県,つがる市,Aomori ,Tsugaru,33316,あおもりけん,つがるし
秋田県,北秋田市,Akita,Kitaakita,33224,あきたけん,きたあきたし
新潟県,妙高市,Niigata ,Myoko,33199,にいがたけん,みょうこうし
京都府,南丹市,Kyoto,Nantan,33145,きょうとふ,なんたんし
福井県,大野市,Fukui ,Ono,33109,ふくいけん,おおのし
秋田県,潟上市,Akita,Katagami,33083,あきたけん,かたがみし
高知県,香南市,Kochi ,Konan,32961,こうちけん,こうなんし
山口県,柳井市,Yamaguchi ,Yanai,32945,やまぐちけん,やないし
香川県,善通寺市,Kagawa ,Zentsuji,32927,かがわけん,ぜんつうじし
長野県,駒ヶ根市,Nagano ,Komagane-shi,32759,ながのけん,こまがねし
富山県,滑川市,Toyama ,Namerikawa,32755,とやまけん,なめりかわし
静岡県,御前崎市,Shizuoka ,Omaezaki,32578,しずおかけん,おまえざきし
山形県,南陽市,Yamagata ,Nanyo,32285,やまがたけん,なんようし
青森県,平川市,Aomori ,Hirakawa,32106,あおもりけん,ひらかわし
岡山県,高梁市,Okayama ,Takahashi,32075,おかやまけん,たかはしし
秋田県,鹿角市,Akita,Kazuno,32038,あきたけん,かづのし
山梨県,都留市,Yamanashi ,Tsuru,32002,やまなしけん,つるし
長崎県,平戸市,Nagasaki ,Hirado,31920,ながさきけん,ひらどし
佐賀県,神埼市,Saga ,Kanzaki,31842,さがけん,かんざきし
山梨県,甲州市,Yamanashi ,Koshu,31671,やまなしけん,こうしゅうし
山形県,上山市,Yamagata ,Kamiyama,31569,やまがたけん,かみのやまし
鹿児島県,志布志市,Kagoshima ,Shibushi,31479,かごしまけん,しぶしし
長崎県,対馬市,Nagasaki ,Tsushima,31457,ながさきけん,つしまし
静岡県,伊豆市,Shizuoka ,Izu-shi,31317,しずおかけん,いずし
山梨県,中央市,Yamanashi ,Chuo,31124,やまなしけん,ちゅうおうし
奈良県,宇陀市,Nara ,Uda,31105,ならけん,うだし
香川県,東かがわ市,Kagawa ,Higashikagawa,31311,かがわけん,ひがしかがわし
奈良県,五條市,Nara ,Gojo,30997,ならけん,ごじょうし
福島県,本宮市,Fukushima ,Motomiya,30924,ふくしまけん,もとみやし
兵庫県,朝来市,Hyogo ,Asago,30805,ひょうごけん,あさごし
宮崎県,西都市,Miyazaki,Saito,30683,みやざきけん,さいとし
山梨県,韮崎市,Yamanashi ,Nirasaki,30680,やまなしけん,にらさきし
岡山県,新見市,Okayama ,Niimi,30658,おかやまけん,にいみし
